 format: day,hour,value location:60_127 Start : 20230101 
 9, 0006, 5.300000 
 9, 0007, 3.800000 
 9, 0008, 2.500000 
 9, 0009, 1.400000 
 9, 0010, 0.900000 
 9, 0011, 0.500000 
 9, 0012, -0.500000 
 9, 0013, -1.000000 
 9, 0014, -1.400000 
 9, 0015, -2.300000 
 9, 0016, -2.300000 
 9, 0017, -2.700000 
 9, 0018, -2.800000 
 9, 0019, -3.300000 
 9, 0020, -3.600000 
 9, 0021, -3.700000 
 9, 0022, -3.700000 
 9, 0023, -2.400000 
 10, 0000, 0.300000 
 10, 0001, 3.000000 
 10, 0002, 5.100000 
 10, 0003, 7.200000 
 10, 0004, 8.700000 
 10, 0005, 8.800000 
 10, 0006, 8.100000 
 10, 0007, 6.000000 
 10, 0008, 4.700000 
 10, 0009, 4.000000 
 10, 0010, 3.300000 
 10, 0011, 2.700000 
 10, 0012, 2.100000 
 10, 0013, 1.900000 
 10, 0014, 1.000000 
 10, 0015, 0.300000 
 10, 0016, -0.200000 
 10, 0017, -0.400000 
 10, 0018, -0.800000 
 10, 0019, -0.800000 
 10, 0020, -1.100000 
 10, 0021, -1.400000 
 10, 0022, -1.900000 
 10, 0023, -0.900000 
 11, 0000, 1.900000 
 11, 0001, 3.900000 
 11, 0002, 5.500000 
 11, 0003, 7.600000 
 11, 0004, 8.900000 
 11, 0005, 8.800000 
 11, 0006, 8.400000 
 11, 0007, 6.600000 
 11, 0008, 5.100000 
 11, 0009, 4.200000 
 11, 0010, 3.400000 
 11, 0011, 3.200000 
 11, 0012, 2.900000 
 11, 0013, 2.300000 
 11, 0014, 1.400000 
 11, 0015, 0.900000 
 11, 0016, 0.600000 
 11, 0017, 0.200000 
 11, 0018, 0.000000 
 11, 0019, -0.200000 
 11, 0020, -0.200000 
 11, 0021, -0.400000 
 11, 0022, 0.000000 
 11, 0023, 2.000000 
 12, 0000, 4.400000 
 12, 0001, 6.900000 
 12, 0002, 8.500000 
 12, 0003, 10.300000 
 12, 0004, 11.600000 
 12, 0005, 12.100000 
 12, 0006, 12.300000 
 12, 0007, 11.000000 
 12, 0008, 8.900000 
 12, 0009, 7.900000 
 12, 0010, 7.300000 
 12, 0011, 7.400000 
 12, 0012, 8.200000 
 12, 0013, 8.500000 
 12, 0014, 8.000000 
 12, 0015, 6.800000 
 12, 0016, 5.300000 
 12, 0017, 5.200000 
 12, 0018, 5.700000 
 12, 0019, 6.400000 
 12, 0020, 7.000000 
 12, 0021, 7.800000 
 12, 0022, 8.000000 
 12, 0023, 8.200000 
 13, 0000, 8.500000 
 13, 0001, 8.700000 
 13, 0002, 9.000000 
 13, 0003, 9.200000 
 13, 0004, 9.400000 
 13, 0005, 9.900000 
 13, 0006, 9.900000 
 13, 0007, 10.000000 
 13, 0008, 9.900000 
 13, 0009, 9.600000 
 13, 0010, 9.400000 
 13, 0011, 9.200000 
 13, 0012, 9.100000 
 13, 0013, 8.800000 
 13, 0014, 8.300000 
 13, 0015, 8.400000 
 13, 0016, 8.000000 
 13, 0017, 7.800000 
 13, 0018, 7.800000 
 13, 0019, 7.800000 
 13, 0020, 7.800000 
 13, 0021, 7.900000 
